"","p.value","-log10(p)","FDR","Tukey's HSD","vip"
"MZ_772.5189",1.5106e-27,26.821,7.2564e-27,"region_10-region_8; region_5-region_8; region_12-region_8; region_13-region_8; region_10-region_1; region_5-region_1; region_12-region_1; region_13-region_1; region_11-region_2; region_10-region_2; region_12-region_2; region_9-region_2; region_10-region_3; region_5-region_3; region_12-region_3; region_13-region_3; region_7-region_11; region_5-region_11; region_13-region_11; region_10-region_7; region_12-region_7; region_9-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_13-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.007913
"MZ_796.5219",1.6451e-27,26.784,7.8975e-27,"region_3-region_8; region_10-region_8; region_5-region_8; region_12-region_8; region_13-region_8; region_5-region_1; region_13-region_1; region_3-region_2; region_10-region_2; region_12-region_2; region_13-region_2; region_7-region_3; region_4-region_3; region_5-region_3; region_13-region_3; region_10-region_11; region_5-region_11; region_13-region_11; region_10-region_7; region_5-region_7; region_12-region_7; region_13-region_7; region_10-region_4; region_5-region_4; region_13-region_4; region_5-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.9736
"MZ_822.5355",1.6525e-27,26.782,7.9283e-27,"region_10-region_8; region_5-region_8; region_13-region_8; region_2-region_1; region_11-region_1; region_5-region_1; region_13-region_1; region_3-region_2; region_10-region_2; region_5-region_2; region_13-region_2; region_11-region_3; region_5-region_3; region_9-region_3; region_13-region_3; region_4-region_11; region_10-region_11; region_10-region_7; region_5-region_7; region_13-region_7; region_5-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",1.376
"MZ_830.5450",1.6609e-27,26.78,7.964e-27,"region_2-region_8; region_3-region_8; region_2-region_1; region_3-region_1; region_10-region_1; region_3-region_2; region_11-region_2; region_7-region_2; region_4-region_2; region_5-region_2; region_12-region_2; region_9-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_10-region_4; region_5-region_10; region_13-region_10",1.324
"MZ_800.5456",1.6718e-27,26.777,8.0109e-27,"region_3-region_8; region_10-region_8; region_5-region_8; region_13-region_8; region_5-region_1; region_13-region_1; region_3-region_2; region_4-region_2; region_10-region_2; region_5-region_2; region_13-region_2; region_11-region_3; region_5-region_3; region_13-region_3; region_4-region_11; region_10-region_11; region_5-region_11; region_13-region_11; region_5-region_7; region_13-region_7; region_5-region_4; region_13-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",1.125
"MZ_799.5351",1.6776e-27,26.775,8.0338e-27,"region_1-region_8; region_7-region_8; region_4-region_8; region_2-region_1; region_3-region_1; region_11-region_1; region_10-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_1; region_4-region_2; region_5-region_2; region_13-region_2; region_5-region_3; region_13-region_3; region_5-region_11; region_13-region_11; region_5-region_7; region_9-region_7; region_13-region_7; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_13-region_12",2.038
"MZ_800.5497",1.774e-27,26.751,8.4904e-27,"region_10-region_8; region_5-region_8; region_9-region_8; region_3-region_1; region_10-region_1; region_12-region_1; region_9-region_1; region_10-region_2; region_5-region_2; region_13-region_2; region_11-region_3; region_10-region_3; region_5-region_3; region_13-region_3; region_10-region_11; region_12-region_11; region_9-region_11; region_10-region_7; region_12-region_7; region_9-region_7; region_10-region_4; region_5-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.4133
"MZ_119.9249",1.8463e-27,26.734,8.8311e-27,"region_1-region_8; region_2-region_8; region_3-region_8; region_11-region_8; region_7-region_8; region_4-region_8; region_10-region_8; region_12-region_8; region_9-region_8; region_13-region_8; region_13-region_1; region_13-region_2; region_13-region_3; region_13-region_11; region_13-region_7; region_13-region_4; region_13-region_10; region_13-region_5; region_13-region_12; region_13-region_9",1.297
"MZ_849.5581",1.918e-27,26.717,9.1683e-27,"region_3-region_8; region_4-region_8; region_10-region_8; region_4-region_1; region_10-region_1; region_5-region_1; region_13-region_1; region_3-region_2; region_7-region_2; region_4-region_2; region_10-region_2; region_11-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_7-region_11; region_4-region_11; region_10-region_11; region_5-region_7; region_9-region_7; region_13-region_7; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10",0.8469
"MZ_741.5275",1.945e-27,26.711,9.2919e-27,"region_3-region_8; region_10-region_8; region_5-region_8; region_13-region_8; region_3-region_1; region_10-region_1; region_5-region_1; region_13-region_1; region_3-region_2; region_5-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_5-region_11; region_13-region_11; region_10-region_7; region_10-region_4; region_5-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",1.648
"MZ_824.5580",1.9608e-27,26.708,9.3615e-27,"region_3-region_8; region_3-region_1; region_3-region_2; region_5-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_4-region_11; region_10-region_11; region_5-region_4; region_13-region_4; region_5-region_10; region_13-region_10",0.9908
"MZ_850.5574",2.0094e-27,26.697,9.5827e-27,"region_1-region_8; region_3-region_8; region_7-region_8; region_4-region_8; region_2-region_1; region_11-region_1; region_10-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_1; region_3-region_2; region_4-region_2; region_11-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_7-region_11; region_4-region_11; region_5-region_7; region_9-region_7; region_13-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_13-region_12",1.783
"MZ_845.5236",2.0096e-27,26.697,9.5827e-27,"region_1-region_8; region_10-region_8; region_5-region_8; region_13-region_8; region_3-region_1; region_4-region_1; region_10-region_1; region_12-region_1; region_9-region_1; region_10-region_2; region_12-region_2; region_10-region_3; region_5-region_3; region_13-region_3; region_10-region_11; region_12-region_11; region_10-region_7; region_5-region_7; region_10-region_4; region_5-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.09499
"MZ_822.5368",2.0577e-27,26.687,9.8063e-27,"region_3-region_8; region_11-region_8; region_10-region_8; region_5-region_8; region_13-region_8; region_3-region_1; region_11-region_1; region_5-region_1; region_13-region_1; region_3-region_2; region_10-region_2; region_5-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_5-region_3; region_9-region_3; region_13-region_3; region_4-region_11; region_10-region_11; region_12-region_11; region_10-region_7; region_5-region_4; region_13-region_4; region_5-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",1.299
"MZ_221.9707",2.1113e-27,26.675,1.0055e-26,"region_2-region_8; region_3-region_8; region_7-region_8; region_12-region_8; region_13-region_8; region_13-region_1; region_13-region_2; region_13-region_3; region_13-region_11; region_13-region_7; region_13-region_4; region_13-region_10; region_13-region_5; region_13-region_12; region_13-region_9",1.367
"MZ_800.5386",2.1969e-27,26.658,1.0457e-26,"region_1-region_8; region_3-region_8; region_11-region_8; region_4-region_8; region_2-region_1; region_3-region_1; region_11-region_1; region_7-region_1; region_10-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_1; region_4-region_2; region_5-region_3; region_9-region_3; region_13-region_3; region_5-region_11; region_9-region_11; region_13-region_11; region_5-region_7; region_13-region_7; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_13-region_10",2.211
"MZ_822.5364",2.2183e-27,26.654,1.0552e-26,"region_3-region_8; region_10-region_8; region_5-region_8; region_13-region_8; region_11-region_1; region_5-region_1; region_13-region_1; region_3-region_2; region_10-region_2; region_5-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_5-region_3; region_9-region_3; region_13-region_3; region_10-region_11; region_10-region_7; region_5-region_7; region_13-region_7; region_10-region_4; region_5-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",1.527
"MZ_741.5229",2.2219e-27,26.653,1.0563e-26,"region_3-region_8; region_5-region_8; region_13-region_8; region_3-region_1; region_5-region_1; region_13-region_1; region_3-region_2; region_7-region_2; region_5-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_5-region_11; region_13-region_11; region_12-region_7; region_5-region_4; region_13-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",1.631
"MZ_774.5290",2.2517e-27,26.647,1.0698e-26,"region_10-region_8; region_5-region_8; region_12-region_8; region_13-region_8; region_10-region_1; region_12-region_1; region_9-region_1; region_10-region_2; region_12-region_2; region_9-region_2; region_10-region_3; region_5-region_3; region_12-region_3; region_13-region_3; region_10-region_11; region_12-region_11; region_9-region_11; region_10-region_7; region_12-region_7; region_9-region_7; region_10-region_4; region_12-region_4; region_9-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.9137
"MZ_849.5571",2.2939e-27,26.639,1.0892e-26,"region_11-region_8; region_10-region_8; region_5-region_8; region_13-region_8; region_3-region_1; region_7-region_1; region_4-region_1; region_10-region_1; region_3-region_2; region_4-region_2; region_10-region_2; region_11-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_7-region_11; region_4-region_11; region_10-region_11; region_5-region_7; region_13-region_7; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10",0.9968
"MZ_772.5178",2.3578e-27,26.627,1.1189e-26,"region_5-region_8; region_12-region_8; region_9-region_8; region_13-region_8; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_1; region_5-region_2; region_12-region_2; region_9-region_2; region_5-region_3; region_13-region_3; region_5-region_11; region_12-region_11; region_9-region_11; region_13-region_11; region_5-region_7; region_12-region_7; region_9-region_7; region_5-region_4; region_12-region_4; region_9-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.1039
"MZ_849.5480",2.3767e-27,26.624,1.1272e-26,"region_1-region_8; region_7-region_8; region_4-region_8; region_11-region_1; region_4-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_1; region_7-region_2; region_4-region_2; region_4-region_3; region_5-region_3; region_13-region_3; region_7-region_11; region_4-region_11; region_10-region_7; region_5-region_7; region_12-region_7; region_9-region_7; region_13-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4",1.313
