"","mean_region_1","sd_region_1","mean_region_2","sd_region_2","Fold Change","log2(FC)","p.value","FDR","VIP","pcorr"
"MSI04694",82.521,106.4,104.616,152.88,0.789,-0.342,0.505,0.63,0.298,0.118
"MSI04695",42.159,84.78,219.826,608.268,0.192,-2.382,0.107,0.278,0.713,0.22
"MSI04696",33.463,34.685,124.931,239.499,0.268,-1.901,0.0365,0.153,0.919,0.272
"1115-65-7 [M+H-H2O]+",39.024,43.126,121.702,255.478,0.321,-1.641,0.0759,0.233,0.783,0.232
"MSI04698",127.932,206.523,221.127,670.462,0.579,-0.79,0.455,0.591,0.333,0.096
"MSI04699",58.577,96.67,171.669,472.745,0.341,-1.551,0.19,0.368,0.582,0.163
"MSI04700",46.719,61.807,119.687,203.534,0.39,-1.357,0.0569,0.203,0.839,0.248
"MSI04701",66.229,93.216,83.454,89.105,0.794,-0.334,0.453,0.59,0.335,0.086
"MSI04702",58.188,98.211,135.801,303.92,0.428,-1.223,0.174,0.351,0.603,0.186
"MSI04703",72.025,144.16,182.284,395.791,0.395,-1.34,0.144,0.317,0.648,0.19
"MSI04704",95.739,171.518,175.577,395.794,0.545,-0.875,0.299,0.469,0.462,0.14
"MSI04705",92.519,172.321,165.202,392.299,0.56,-0.836,0.341,0.502,0.424,0.125
"MSI04706",78.83,156.984,257.142,640.875,0.307,-1.706,0.131,0.305,0.668,0.184
"C07182 [M+NH4]+",50.854,99.471,67.188,48.762,0.757,-0.402,0.407,0.559,0.369,0.11
"Cyclohexylamine [M+K]+",48.654,72.099,66.408,46.013,0.733,-0.449,0.245,0.418,0.517,0.136
"MSI04709",35.293,46.736,102.923,129.729,0.343,-1.544,0.0073,0.0434,1.165,0.346
"5-ethenyl-2,4-dimethyl-1,3-thiazole [M+H]+",78.875,139.86,77.435,92.285,1.019,0.027,0.961,0.975,0.022,-0.004
"MSI04711",76.564,136.191,77.686,92.568,0.986,-0.021,0.969,0.98,0.017,0.01
"MSI04712",43.922,53.159,63.458,34.454,0.692,-0.531,0.086,0.249,0.758,0.217
"MSI04713",49.675,72.064,67.97,45.32,0.731,-0.452,0.229,0.405,0.535,0.159
"MSI04714",72.497,119.298,114.956,236.943,0.631,-0.665,0.369,0.525,0.4,0.108
"4-Methoxyaniline [M+NH4]+",78.973,127.29,94.332,108.208,0.837,-0.256,0.605,0.709,0.231,0.072
"hexan-1-ol [M+K]+",53.423,100.855,111.996,147.322,0.477,-1.068,0.0682,0.222,0.804,0.224
"MSI04717",109.407,162.073,60.918,31.942,1.796,0.845,0.102,0.272,0.723,-0.196
"MSI04718",74.397,127.229,65.666,35.999,1.133,0.18,0.71,0.789,0.166,-0.031
"MSI04719",51.868,84.955,144.026,446.275,0.36,-1.473,0.256,0.429,0.506,0.131
"MSI04720",64.522,106.14,150.367,446.875,0.429,-1.221,0.294,0.464,0.467,0.118
"2,2-DPA [M]+",162.614,134.5,102.568,147.233,1.585,0.665,0.0935,0.26,0.741,-0.203
"&gamma [M+K]+",72.885,133.342,156.925,393.441,0.464,-1.106,0.257,0.429,0.504,0.125
"MSI04723",73.673,133.034,147.237,343.913,0.5,-0.999,0.263,0.436,0.497,0.125
"MSI04724",60.306,115.506,147.237,343.913,0.41,-1.288,0.18,0.358,0.595,0.16
"WE 8:1 [M+H]+",52.265,101.189,149.264,421.96,0.35,-1.514,0.211,0.389,0.556,0.158
"MSI04726",33.193,36.811,75.32,54.173,0.441,-1.182,0.00056,0.0045,1.471,0.424
"metabisulfite [M-H2O+NH4]+",68.039,132.617,142.819,316.499,0.476,-1.07,0.222,0.4,0.542,0.145
"MSI04728",54.632,87.972,79.37,92.407,0.688,-0.539,0.277,0.447,0.484,0.121
"N-(dioxo-lambda6-sulfanylidene)carbamimidic acid [M+Na]+",78.351,112.144,248.359,395.474,0.315,-1.664,0.0225,0.111,0.999,0.303
"Thiocarbohydrazide [M+K]+",64.221,109.267,235.634,569.919,0.273,-1.875,0.0998,0.27,0.728,0.21
"MSI04731",70.752,115.033,139.318,442.607,0.508,-0.978,0.4,0.552,0.376,0.103
"MSI04732",77.14,119.443,139.409,442.628,0.553,-0.854,0.445,0.585,0.34,0.093
"MSI04733",93.645,139.462,134.562,377.673,0.696,-0.523,0.567,0.676,0.255,0.072
"CHEBI [M]+",9232.996,617.579,1509.793,4541.593,6.115,2.612,9.19e-14,3.73e-12,2.703,-0.783
"MSI04735",1548.815,105.911,2683.497,2648.012,0.577,-0.793,0.0184,0.0954,1.031,0.305
"MSI04736",54.169,90.272,191.681,480.214,0.283,-1.823,0.116,0.289,0.695,0.203
"MSI04737",67.409,119.057,76.041,63.309,0.886,-0.174,0.718,0.796,0.161,0.062
"MSI04738",65.496,109.878,76.041,63.309,0.861,-0.215,0.64,0.738,0.209,0.082
"(S)-2-Chloropropanoic acid [M+K]+",2189.662,147.681,2064.534,3176.727,1.061,0.085,0.825,0.876,0.099,-0.022
"MSI04740",38.853,43.923,78.933,70.539,0.492,-1.023,0.00827,0.048,1.148,0.346
"1,3-Dimethylborazine [M+K]+",76.535,130.359,179.915,557.122,0.425,-1.233,0.311,0.477,0.451,0.125
"MSI04742",101.746,160.338,139.466,238.481,0.73,-0.455,0.461,0.596,0.329,0.113
"trichloromethaneperoxol [M]+",48.619,78.283,137.943,341.599,0.352,-1.504,0.154,0.329,0.632,0.18
"N-methylphenylethanolamine [M]+",44.138,63.791,149.315,339.533,0.296,-1.758,0.09,0.256,0.749,0.227
"MSI04745",60.451,97.324,70.76,53.575,0.854,-0.227,0.602,0.706,0.233,0.065
"4-(Hydroxylamino)-N,N-dimethylaniline [M]+",87.341,156.103,97.021,194.649,0.9,-0.152,0.827,0.878,0.098,0.04
"MSI04747",40.123,86.33,146.337,481.924,0.274,-1.867,0.224,0.402,0.54,0.154
"MSI04748",44.759,81.871,127.802,375.046,0.35,-1.514,0.226,0.403,0.538,0.156
"Pseudopelletierine [M+H]+",1899.492,218.788,2762.646,2262.266,0.688,-0.54,0.0356,0.15,0.923,0.27
"MSI04750",74.592,138.62,178.741,468.624,0.417,-1.261,0.233,0.407,0.531,0.157
"MSI04751",89.333,153.015,108.012,216.202,0.827,-0.274,0.691,0.775,0.177,0.039
"MSI04752",67.497,113.328,61.988,29.084,1.089,0.123,0.791,0.85,0.118,-0.039
"MSI04753",42.199,51.418,103.433,102.794,0.408,-1.293,0.00373,0.024,1.253,0.354
"Methyleugenol [M+H-H2O]+",91.077,138.19,105.474,120.088,0.864,-0.212,0.658,0.751,0.198,0.063
"MSI04755",329.444,162.145,70.873,53.091,4.648,2.217,4.03e-12,1.11e-10,2.582,-0.744
"MSI04756",49.512,93.853,58.696,22.08,0.844,-0.245,0.592,0.698,0.239,0.079
"1,2-Dihydroxy-5-(methylthio)pent-1-en-3-one [M+H]+",639.404,42.769,193.334,406.309,3.307,1.726,5.59e-08,8.9e-07,2.164,-0.621
"2-bromo-2-butenoic acid [M]+",42.112,79.653,176.936,388.499,0.238,-2.071,0.0591,0.209,0.832,0.256
"MSI04759",59.007,100.509,75.911,49.545,0.777,-0.363,0.397,0.549,0.378,0.101
"MSI04760",77.332,149.567,83.333,61.848,0.928,-0.108,0.835,0.883,0.093,0.025
"MSI04761",57.705,106.318,86.119,166.388,0.67,-0.578,0.419,0.569,0.36,0.102
"MSI04762",35.772,55.326,102.954,159.725,0.347,-1.525,0.0281,0.129,0.963,0.256
"THIOPHOSPHORYL CHLORIDE [M+H]+",45.283,86.861,77.169,64.642,0.587,-0.769,0.101,0.27,0.726,0.213
"P-TOLUENESULFONIC ACID [M+H]+",227.862,103.999,74.088,69.977,3.076,1.621,2.73e-09,5.12e-08,2.318,-0.664
"MSI04765",45.13,92.67,65.695,37.99,0.687,-0.542,0.25,0.423,0.512,0.149
"sodium [M-H2O+NH4]+",50.565,66.778,135.821,306.667,0.372,-1.426,0.129,0.303,0.672,0.2
"537-55-3 [M]+",45.674,113.907,166.722,432.187,0.274,-1.868,0.131,0.304,0.67,0.186
"2-(Trifluoromethylthio)benzyl bromide [M+Na]+",33.229,60.162,101.118,168.166,0.329,-1.605,0.0354,0.15,0.924,0.271
"Chaparrin [M+H]+",123.16,109.595,123.994,121.726,0.993,-0.01,0.977,0.985,0.013,-0.014
"MSI04770",25.922,38.458,57.434,22.916,0.451,-1.148,0.000182,0.00165,1.582,0.442
"MSI04771",52.827,116.587,72.989,61.322,0.724,-0.466,0.39,0.543,0.383,0.113
"Mycobactin S [M+H]+",181.492,53.285,216.481,246.7,0.838,-0.254,0.436,0.58,0.348,0.125
"Dioleoylphosphatidyl-ddc [M+H-2H2O]+",23.785,23.478,57.434,22.916,0.414,-1.272,2.4e-07,3.44e-06,2.08,0.593
"PS(18:1(12Z)-2OH(9,10)/20:0) [M+Na]+",104.885,18.127,202.702,166.204,0.517,-0.951,0.00156,0.0111,1.359,0.387
"MSI04775",63.449,92.564,70.051,54.236,0.906,-0.143,0.729,0.805,0.155,0.043
"C47H75NO17 [M+H-H2O]+",64.182,59.913,57.434,22.916,1.117,0.16,0.554,0.666,0.264,-0.08
"2-amino-N-(3-amino-1-{[6,9,18-tris(2-aminoethyl)... [M+Na]+",93.186,58.839,87.287,143.275,1.068,0.094,0.83,0.881,0.096,-0.01
"MSI04778",74.509,89.896,115.562,190.136,0.645,-0.633,0.274,0.444,0.487,0.123
"MSI04779",80.196,135.918,207.912,463.197,0.386,-1.374,0.14,0.313,0.655,0.175
"MSI04780",45.931,57.766,141.188,278.904,0.325,-1.62,0.0632,0.215,0.819,0.232
"MSI04781",81.314,140.235,159.532,445.287,0.51,-0.972,0.347,0.505,0.419,0.121
"MSI04782",78.214,128.012,105.868,163.705,0.739,-0.437,0.454,0.591,0.334,0.095
"MSI04783",64.426,75.796,90.949,120.429,0.708,-0.497,0.296,0.466,0.465,0.14
"hexane-1,6-diamine [M]+",1674.429,112,578.977,1231.032,2.892,1.532,4.76e-06,5.53e-05,1.883,-0.536
"MSI04785",46.973,64.044,76.765,64.916,0.612,-0.709,0.0694,0.223,0.801,0.23
"MSI04786",60.155,71.643,102.111,111.416,0.589,-0.763,0.0781,0.237,0.778,0.19
"MSI04787",67.868,117.025,123.835,211.176,0.548,-0.868,0.195,0.373,0.576,0.178
"MSI04788",48.64,66.31,119.617,283.474,0.407,-1.298,0.173,0.349,0.605,0.178
"Cobalt sulfate [M+H-2H2O]+",72.955,30.102,531.53,224.049,0.137,-2.865,5.61e-17,8.54e-15,2.891,0.828
"3,6-Dihydropyridine [M+K]+",100.753,130.572,192.738,490.966,0.523,-0.936,0.31,0.476,0.452,0.123
"MSI04791",98.849,156.384,76.218,55.895,1.297,0.375,0.444,0.585,0.342,-0.095
"MSI04792",40.953,49.278,85.497,78.906,0.479,-1.062,0.00872,0.0504,1.14,0.328
"MSI04793",68.942,103.11,141.694,306.574,0.487,-1.039,0.208,0.386,0.559,0.143
"MSI04794",114.999,132.402,99.887,202.266,1.151,0.203,0.725,0.801,0.157,-0.036
"MSI04795",43.605,69.724,154.318,283.222,0.283,-1.823,0.0357,0.15,0.922,0.254
"Phosphate [M+H-2H2O]+",73.018,137.299,302.596,460.101,0.241,-2.051,0.00881,0.0507,1.139,0.319
"MSI04797",40.717,53.418,143.009,295.436,0.285,-1.812,0.0585,0.207,0.834,0.23
"MSI04798",56.199,77.911,96.194,150.415,0.584,-0.775,0.187,0.365,0.586,0.172
"MSI04799",54.152,70.475,228.739,230.317,0.237,-2.079,0.000122,0.00114,1.619,0.482
"MSI04800",33.194,37.941,111.134,210.673,0.299,-1.743,0.0436,0.17,0.887,0.241
"MSI04801",49.339,54.831,77.16,90.057,0.639,-0.645,0.141,0.314,0.653,0.184
"MSI04802",83.519,119.441,80.578,91.746,1.036,0.052,0.912,0.938,0.049,-0.022
"MSI04803",87.546,154.262,199.598,450.981,0.439,-1.189,0.188,0.367,0.584,0.166
"MSI04804",123.862,167.057,122.963,342.979,1.007,0.011,0.989,0.993,0.006,0.009
"Methylconiine [M+H-H2O]+",124.361,166.731,122.963,342.979,1.011,0.016,0.984,0.989,0.009,0.008
"MSI04806",56.935,73.822,109.047,193.687,0.522,-0.938,0.16,0.335,0.623,0.185
"hexane [M+K]+",72.578,128.944,204.377,357.655,0.355,-1.494,0.0544,0.197,0.847,0.254
"MSI04808",45.344,93.829,257.995,512.937,0.176,-2.508,0.0244,0.118,0.986,0.287
"MSI04809",98.571,118.274,162.458,255.998,0.607,-0.721,0.205,0.383,0.563,0.145
"MSI04810",69.169,117.625,132.499,197.779,0.522,-0.938,0.125,0.298,0.68,0.19
"Arsenic trioxide [M+H]+",55.146,62.756,98.495,178.524,0.56,-0.837,0.2,0.377,0.569,0.168
"MSI04812",67.038,118.18,77.733,87.452,0.862,-0.214,0.682,0.768,0.183,0.039
"MSI04813",62.921,69.441,157.299,288.088,0.4,-1.322,0.0765,0.234,0.782,0.221
"MSI04814",61.529,100.644,104.341,168.111,0.59,-0.762,0.221,0.399,0.544,0.163
"Naphthalene [M]+",61.601,104.847,133.252,186.768,0.462,-1.113,0.0631,0.215,0.819,0.23
"MSI04816",66.443,105.437,87.984,130.105,0.755,-0.405,0.47,0.601,0.323,0.093
"MSI04817",57.467,91.24,87.984,130.105,0.653,-0.615,0.282,0.452,0.479,0.136
"Metformin [M]+",100.911,153.857,126.733,250.609,0.796,-0.329,0.621,0.723,0.221,0.052
"MSI04819",116.479,154.191,92.281,77.383,1.262,0.336,0.431,0.578,0.352,-0.091
"MSI04820",92.1,145.697,146.598,370.633,0.628,-0.671,0.442,0.584,0.343,0.112
"MSI04821",47.663,80.115,79.632,59.875,0.599,-0.74,0.0754,0.232,0.785,0.221
"MSI04822",102.296,115.572,183.486,324.755,0.558,-0.843,0.188,0.366,0.585,0.157
"MSI04823",63.293,90.183,112.945,218.168,0.56,-0.836,0.239,0.413,0.524,0.179
"MSI04824",84.809,148.34,83.068,104.872,1.021,0.03,0.957,0.972,0.024,0.007
"aluminium(3+) ion calcium sodium oxosilanebis(ol... [M+H-2H2O]+",43.169,73.578,76.866,101.14,0.562,-0.832,0.133,0.307,0.666,0.204
"MSI04826",50.172,117.008,169.236,392.883,0.296,-1.754,0.105,0.277,0.716,0.208
"MSI04827",51.566,87.417,121.949,200.806,0.423,-1.242,0.0739,0.229,0.789,0.235
"MSI04828",59.649,111.841,81.259,116.667,0.734,-0.446,0.452,0.59,0.335,0.103
"MSI04829",1626.714,108.808,1688.215,2101.455,0.964,-0.054,0.869,0.907,0.074,0.025
"MSI04830",100.071,173.586,74.135,63.754,1.35,0.433,0.431,0.578,0.352,-0.076
"Oxalacetic acid [M+H]+",138.509,172.559,177.442,528.91,0.781,-0.357,0.694,0.777,0.176,0.046
"MSI04832",53.723,91.729,113.429,208.629,0.474,-1.078,0.143,0.316,0.648,0.182
"MSI04833",72.43,81.349,108.853,209.108,0.665,-0.588,0.362,0.518,0.406,0.113
"MSI04834",86.072,88.819,100.044,207.296,0.86,-0.217,0.727,0.803,0.156,0.039
"MSI04835",113.79,153.912,110.149,161.037,1.033,0.047,0.927,0.948,0.041,-0.01
"MSI04836",93.529,127.095,114.136,220.311,0.819,-0.287,0.648,0.744,0.204,0.045
"MSI04837",45.961,67.213,112.216,220.76,0.41,-1.288,0.109,0.282,0.708,0.197
"MSI04838",96.048,150.483,109.14,220.482,0.88,-0.184,0.782,0.844,0.124,0.029
"88-14-2 [M+Na]+",57.762,92.592,173.407,399.625,0.333,-1.586,0.116,0.289,0.696,0.228
"MSI04840",129.351,194.617,96.065,149.461,1.347,0.429,0.446,0.585,0.34,-0.065
"MSI04841",64.225,96.381,172.291,395.206,0.373,-1.424,0.138,0.311,0.657,0.184
"MSI04842",76.937,138.392,245.533,621.192,0.313,-1.674,0.139,0.313,0.656,0.187
"MSI04843",81.625,118.746,83.248,69.616,0.981,-0.028,0.947,0.964,0.03,0.008
"MSI04844",89.109,155.533,253.023,642.812,0.352,-1.506,0.166,0.342,0.615,0.185
"MSI04845",68.092,96.29,194.375,326.771,0.35,-1.513,0.0401,0.162,0.902,0.265
"propanoyl phosphate [M+H-H2O]+",1836.728,122.856,783.234,1640.324,2.345,1.23,0.000589,0.00468,1.466,-0.409
"MSI04847",55.652,87.223,83.963,89.1,0.663,-0.593,0.204,0.382,0.564,0.148
"MSI04848",47.955,88.61,216.123,609.151,0.222,-2.172,0.127,0.301,0.675,0.199
"MSI04849",66.309,137.679,95.031,126.034,0.698,-0.519,0.387,0.542,0.385,0.083
"C6H3ClO4 [M+H-2H2O]+",55.533,116.201,228.5,586.773,0.243,-2.041,0.107,0.278,0.713,0.196
"N-Monomethyl-2-aminoethylphosphonate [M]+",73.189,131.595,120.25,346.233,0.609,-0.716,0.475,0.605,0.319,0.099
"MSI04852",69.856,84.107,62.689,42.147,1.114,0.156,0.668,0.758,0.192,-0.051
"MSI04853",47.342,74.436,91.218,139.729,0.519,-0.946,0.122,0.296,0.685,0.203
"MSI04854",87.334,119.065,126.797,278.515,0.689,-0.538,0.464,0.597,0.327,0.085
"MSI04855",78.893,111.725,157.136,328.16,0.502,-0.994,0.206,0.384,0.561,0.155
"MSI04856",81.42,106.323,120.487,210.002,0.676,-0.565,0.351,0.509,0.415,0.132
"MSI04857",97.582,162.477,77.686,92.568,1.256,0.329,0.549,0.663,0.267,-0.077
"MSI04858",80.603,147.755,80.824,93.772,0.997,-0.004,0.994,0.997,0.003,-0.005
"MSI04859",80.947,147.6,78.233,92.922,1.035,0.049,0.93,0.951,0.039,-0.016
"MSI04860",79.652,147.916,63.378,33.233,1.257,0.33,0.546,0.66,0.27,-0.082
"MSI04861",43.402,66.158,67.97,45.32,0.639,-0.647,0.0881,0.252,0.754,0.228
"MSI04862",49.516,78.048,124.522,322.807,0.398,-1.33,0.206,0.384,0.562,0.153
"Fluorocyclohexane [M+K]+",54.097,100.743,111.996,147.322,0.483,-1.05,0.0713,0.225,0.796,0.222
"MSI04864",51.897,97.01,94.75,126.89,0.548,-0.868,0.134,0.308,0.664,0.178
"MSI04865",70.679,118.189,148.926,447.172,0.475,-1.075,0.342,0.503,0.423,0.106
"MSI04866",40.053,60.657,67.197,39.919,0.596,-0.746,0.0385,0.158,0.909,0.269
"MSI04867",62.225,115.422,163.111,393.932,0.381,-1.39,0.169,0.345,0.61,0.152
"(Diethylamino)diethylborane [M+H]+",64.924,116.409,163.111,393.932,0.398,-1.329,0.181,0.359,0.593,0.147
"MSI04869",54.535,86.998,155.891,358.792,0.35,-1.515,0.126,0.299,0.678,0.204
"MSI04870",68.72,132.317,197.872,437.482,0.347,-1.526,0.115,0.288,0.698,0.176
"4-Amino-1-piperidinecarboxylic acid [M]+",47.339,76.326,106.246,96.755,0.446,-1.166,0.00883,0.0508,1.139,0.318
"MSI04872",70.709,120.695,129.973,284.754,0.544,-0.878,0.283,0.452,0.478,0.141
"trichloroarsane [M+H-2H2O]+",70.341,120.666,129.973,284.754,0.541,-0.886,0.28,0.45,0.481,0.142
"MSI04874",113.829,164.656,111.981,126.543,1.016,0.024,0.96,0.974,0.022,-0.021
"MSI04875",9066.552,606.446,1485.742,4458.687,6.102,2.609,9.26e-14,3.73e-12,2.703,-0.783
"MSI04876",1788.114,136.664,2890.781,2857.345,0.619,-0.693,0.033,0.144,0.936,0.278
"MSI04877",71.868,140.846,189.697,510.467,0.379,-1.4,0.213,0.391,0.553,0.161
"MSI04878",34.672,49.239,82.341,70.56,0.421,-1.248,0.00263,0.0175,1.297,0.381
"MSI04879",67.409,119.057,76.041,63.309,0.886,-0.174,0.718,0.796,0.161,0.062
"MSI04880",76.815,122.318,76.041,63.309,1.01,0.015,0.975,0.983,0.014,0.014
"MSI04881",67.725,116.678,68.309,40.679,0.991,-0.012,0.979,0.986,0.012,0.029
"MSI04882",53.171,81.832,107.048,200.032,0.497,-1.01,0.163,0.339,0.618,0.168
"MSI04883",87.581,146.27,99.721,171.374,0.878,-0.187,0.762,0.828,0.136,0.039
"MSI04884",39.76,66.49,96.609,138.827,0.412,-1.281,0.0408,0.164,0.899,0.255
"MSI04885",54.856,83.961,82.593,102.061,0.664,-0.59,0.24,0.414,0.523,0.164
"MSI04886",8834.9,589.385,4843.433,6235.808,1.824,0.867,0.000624,0.00491,1.459,-0.418
"MSI04887",56.469,106.433,162.203,378.077,0.348,-1.522,0.133,0.307,0.666,0.202
"MSI04888",54.752,94.214,143.801,378.849,0.381,-1.393,0.202,0.38,0.567,0.171
"MSI04889",58.069,99.766,143.801,378.849,0.404,-1.308,0.22,0.399,0.544,0.165
"MSI04890",139.283,156.766,103.644,152.251,1.344,0.426,0.36,0.516,0.408,-0.115
"MSI04891",70.394,122.085,67.26,44.226,1.047,0.066,0.892,0.923,0.061,-0.004
"CHEBI: [M]+",72.626,105.357,146.8,368.021,0.495,-1.015,0.277,0.447,0.483,0.131
"Tributylamine [M+H-2H2O]+",44.167,85.57,239.794,579.419,0.184,-2.441,0.0635,0.215,0.818,0.229
"MSI04894",44.725,83.938,87.854,81.438,0.509,-0.974,0.0411,0.165,0.898,0.249
"MSI04895",56.914,89.088,129.241,249.636,0.44,-1.183,0.128,0.301,0.674,0.213
"MSI04896",59.334,89.058,125.778,249.757,0.472,-1.084,0.161,0.336,0.621,0.197
"MSI04897",74.329,132.777,147.774,357.381,0.503,-0.991,0.28,0.45,0.481,0.158
"5,6-dichloro-1H-1,3-benzodiazole [M+H-2H2O]+",36.484,68.778,68.473,39.92,0.533,-0.908,0.0263,0.124,0.973,0.283
"768-94-5 [M-H2O+NH4]+",82.953,156.493,207.499,552.628,0.4,-1.323,0.225,0.402,0.54,0.167
"MSI04900",52.338,71.476,70.966,48.665,0.738,-0.439,0.228,0.404,0.536,0.155
"MSI04901",59.943,107.152,68.249,42.396,0.878,-0.187,0.685,0.77,0.181,0.055
"MSI04902",37.424,65.247,63.541,34.296,0.589,-0.764,0.0494,0.184,0.865,0.262
"MSI04903",96.991,183.653,135.476,372.465,0.716,-0.482,0.602,0.706,0.233,0.074
"MSI04904",49.819,77.801,153.084,365.144,0.325,-1.62,0.123,0.297,0.683,0.2
"MSI04905",26.978,22.886,139.833,344.367,0.193,-2.374,0.0691,0.223,0.802,0.236
"MSI04906",47.689,91.975,131.489,380.446,0.363,-1.463,0.23,0.406,0.533,0.168
"MSI04907",41.654,45.595,71.855,67.902,0.58,-0.787,0.0408,0.164,0.899,0.276
"MSI04908",43.429,89.095,226.659,508.98,0.192,-2.384,0.0492,0.184,0.866,0.25
"2,6-dimethylnaphthalene [M]+",430.76,31.799,435.447,587.961,0.989,-0.016,0.964,0.976,0.02,0.015
"MSI04910",49.186,86.27,177.258,349.403,0.277,-1.849,0.0485,0.181,0.868,0.247
"M [M]+_1",8187.368,546.058,3945.719,5067.915,2.075,1.053,1.45e-05,0.000157,1.799,-0.514
"MSI04912",49.694,66.665,114.499,208.482,0.434,-1.204,0.099,0.269,0.729,0.212
"Br [M+H]+",56.54,91.17,106.26,239.634,0.532,-0.91,0.277,0.447,0.484,0.154
"Q2 [M]+",291.706,137.216,94.557,121.013,3.085,1.625,7.66e-08,1.19e-06,2.146,-0.624
"MSI04915",290.151,182.302,79.473,64.375,3.651,1.868,5.86e-08,9.22e-07,2.161,-0.629
"MSI04916",42.854,52.6,230.085,316.04,0.186,-2.425,0.00158,0.0112,1.357,0.423
"MSI04917",41.306,84.967,66.391,38.67,0.622,-0.685,0.134,0.307,0.665,0.191
"N-Acetylphenylethylamine [M+H]+",456.994,30.568,211.09,444.621,2.165,1.114,0.00273,0.018,1.292,-0.358
"MSI04919",49.135,110.843,81.398,57.58,0.604,-0.728,0.149,0.323,0.64,0.176
"MSI04920",34.211,76.802,188.739,447.372,0.181,-2.464,0.0587,0.208,0.833,0.253
"T [M+K]+_1",66.598,121.28,62.18,21.306,1.071,0.099,0.84,0.886,0.09,-0.013
"MSI04922",43.334,68.174,108.086,181.21,0.401,-1.319,0.0632,0.215,0.819,0.233
"MSI04923",78.813,77.803,131.625,183.454,0.599,-0.74,0.139,0.313,0.656,0.184
"MSI04924",37.018,62.712,156.467,435.89,0.237,-2.079,0.13,0.303,0.671,0.193
"2-Methyl-3-n-amyl-dihydropyrrole [M+Na]+",84.237,149.935,93.004,184.558,0.906,-0.143,0.835,0.884,0.093,0.026
"MSI04926",51.138,81.931,180.496,396.302,0.283,-1.819,0.0754,0.232,0.785,0.216
"Dichlorophenylphosphine [M]+",70.91,130.477,103.453,234.387,0.685,-0.545,0.495,0.622,0.304,0.087
"MSI04928",59.614,88.125,151.12,412.58,0.394,-1.342,0.224,0.402,0.54,0.147
"MSI04929",45.01,92.689,65.695,37.99,0.685,-0.546,0.247,0.421,0.514,0.15
"Canthin-6-one [M+H-2H2O]+",89.1,155.631,57.434,22.916,1.551,0.634,0.259,0.431,0.502,-0.134
"Nitrilotriacetic acid [M]+",948.279,63.429,122.869,248.583,7.718,2.948,1.48e-26,5.68e-24,3.218,-0.925
"Bergenin [M+H-H2O]+",41.712,53.631,154.557,277.89,0.27,-1.89,0.0276,0.128,0.966,0.282
"2,2',5,5'-Tetrachlorobenzidine [M]+",31.47,68.594,79.529,128.296,0.396,-1.337,0.0664,0.219,0.81,0.242
"S-Glutaryldihydrolipoamide [M+NH4]+",60.27,124.855,163.614,380.927,0.368,-1.441,0.15,0.324,0.638,0.182
"Menadiol diphosphate [M-H2O+NH4]+",22.104,46.887,74.662,99.07,0.296,-1.756,0.00863,0.0499,1.142,0.314
"N-ethyl-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptad... [M+H]+",33.737,25.554,75.889,50.875,0.445,-1.169,9.05e-05,0.000865,1.646,0.473
"Diglyceride [M+H]+",144.822,187.468,57.434,22.916,2.522,1.334,0.0111,0.0618,1.106,-0.316
"PI 30:2 [M]+",111.603,30.2,63.591,30.778,1.755,0.811,3.46e-08,5.67e-07,2.19,-0.627
"Phosphatidate(46:0) [M+Na]+",20.961,30.721,63.456,45.9,0.33,-1.598,5.13e-05,0.000522,1.696,0.475
"MSI04940",46.519,111.319,57.434,22.916,0.81,-0.304,0.589,0.696,0.241,0.075
"MSI04941",121.728,167.507,83.576,65.487,1.456,0.542,0.235,0.409,0.528,-0.147
"MSI04942",82.475,63.912,594.184,423.222,0.139,-2.849,5.52e-09,1e-07,2.284,0.665
"1,3-Cyclohexanedione [M]+",93.389,127.933,263.9,489.389,0.354,-1.499,0.0612,0.212,0.825,0.224
"MSI04944",54.202,78.303,71.848,47.546,0.754,-0.407,0.28,0.45,0.481,0.136
"MSI04945",56.058,66.312,147.326,279.242,0.381,-1.394,0.0769,0.235,0.781,0.223
"MSI04946",67.885,100.06,84.774,81.711,0.801,-0.321,0.462,0.596,0.328,0.101
"MSI04947",57.189,76.296,72.015,43.539,0.794,-0.333,0.343,0.503,0.422,0.136
"MSI04948",36.989,37.516,69.311,44.373,0.534,-0.906,0.00254,0.0169,1.301,0.378
"MSI04949",1250.696,83.657,287.792,607.782,4.346,2.12,1.2e-12,3.8e-11,2.623,-0.756
"MSI04950",62.325,61.876,132.036,155.005,0.472,-1.083,0.0213,0.107,1.008,0.287
"MSI04951",59.774,61.088,113.479,105.478,0.527,-0.925,0.0154,0.0815,1.058,0.298
"MSI04952",92.067,119.422,175.557,319.34,0.524,-0.931,0.171,0.347,0.608,0.177
"La [M+H-H2O]+",47.249,65.22,247.961,334.666,0.191,-2.392,0.00147,0.0105,1.366,0.402
"3-mercaptolactic acid [M]+",41.482,51.619,285.147,373.115,0.145,-2.781,0.000524,0.00423,1.478,0.427
"MSI04955",69.583,118.598,175.847,439.282,0.396,-1.337,0.191,0.37,0.58,0.155
"Pr [M+H-H2O]+",75.249,118.438,174.22,437.771,0.432,-1.211,0.222,0.4,0.543,0.14
"MSI04957",58.636,71.525,69.508,42.834,0.844,-0.245,0.463,0.597,0.327,0.093
